date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-02-06,tuesday,kilyos,13.37,19,dinner,antep corba,etli manti,vejetaryen manti,"zy.barbunya, zy. bruksel lahana","soda, soslu muhallebi, salata"
2024-02-07,wednesday,kilyos,15.02,27,dinner,tarhana corba,etli kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"yogurt, tursu, meyve"
2024-02-08,thursday,kilyos,14.06,25,dinner,koylu corba,etli guvec,sebze guvec,"sehriyeli pirinc pilavi, nohutlu bulgur pilavi","yogurt, meyve, gazoz"
2024-02-09,friday,kilyos,13.72,38,dinner,yayla corba,etli bezelye,bezelye yemegi,su boregi,"mor salata, meyve, fanta"
2024-02-10,saturday,kilyos,15.74,68,dinner,ezogelin corba,pilic nugget,zy.karnabahar,zerdecalli makarna,"tulumba tatlisi, meyve, soda"
2024-02-11,sunday,kilyos,14.47,88,dinner,koylu corba,kiymali yesil mercimek,yesil mercimek,gul boregi,"mevsim salata, meyve, limonata"
2024-02-12,monday,kilyos,11.81,71,dinner,antep corba,kis turlusu,sebze sote,bulgur pilavi,"soda, yesil salata, meyve"
2024-02-13,tuesday,kilyos,8.47,70,dinner,alaca corba,etli bezelye,bezelye yemegi,eriste,"yogurt, mevsim salata, meyve"
2024-02-14,wednesday,kilyos,8.22,76,dinner,ezogelin corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","mor salata, meyve, cevizli kadayif"
2024-02-15,thursday,kilyos,7.29,76,dinner,sehriye corba,orman kebabi,zy.enginar,"zerdecalli pirinc pilavi, bulgur pilavi","haydari, meyve, limonata"
2024-02-16,friday,kilyos,6.86,98,dinner,mercimek corba,etli mantar sote,mantar sote,"nohutlu pirinc pilavi, soslu makarna","profiterol, mevsim salata, gazoz"
2024-02-17,saturday,kilyos,6.54,116,dinner,mahluta corba,ankara tava,mucver,"zy.kereviz, zy. brokoli","soda, meyve, coleslaw salata"
2024-02-18,sunday,kilyos,4.66,151,dinner,elvankiz corba,misket kofte,zy. bruksel lahanasi,soslu makarna,"kazandibi, mevsim salata, soda"
2024-02-19,monday,kilyos,6.59,98,dinner,mahluta corba,kibrit kebabi,nohutlu kabak,bulgur pilavi,"mevsim salata, soda, meyve"
2024-02-20,tuesday,kilyos,6.02,0,dinner,sifa corba,tas kebabi,falafel,bulgur pilavi,"tulumba tatlisi, mevsim salata, meyve"
2024-02-21,wednesday,kilyos,5.34,0,dinner,brokoli corba,firin kofte,harput kofte,peynirli makarna,"ayran, meyve, mevsim salata"
2024-02-22,thursday,kilyos,7.02,81,dinner,andaloz corba,pilic emense,bugdayli pazi,soslu makarna,"meyve, soda, coleslaw salata"
2024-02-23,friday,kilyos,12.14,6,dinner,toyga corba,kiymali yesil mercimek,yesil mercimek yemegi,su boregi,"cilekli puding, mevsim salata, soda"
2024-02-24,saturday,kilyos,12.27,82,dinner,sef'in corbasi,etli taze fasulye,taze fasulye,spagetti makarna,"soda, meyve, komposto"
2024-02-25,sunday,kilyos,12.22,151,dinner,safak corba,tavuk schnitzel,zy.karnabahar,"nohutlu pirinc pilavi, soslu makarna","gazoz, haydari, meyve"
2024-02-26,monday,kilyos,8.16,72,dinner,andaloz corba,etli guvec,sebze guvec,bulgur pilavi,"ayran, meyve, mevsim salata"
2024-02-27,tuesday,kilyos,7.22,82,dinner,alaca corba,,zy. patlican dolma,"su boregi, soslu makarna","cevizli kadayif, mevsim salata, soda"
2024-02-28,wednesday,kilyos,7.69,83,dinner,mercimek corba,etli nohut,etsiz nohut,sebzeli bulgur pilavi,"tursu, yogurt, meyve"
2024-02-29,thursday,kilyos,7.59,55,dinner,sehriye corba,kiymali ispanak,bugdayli nohutlu ispanak,"gul boregi, soslu makarna","muzlu puding, mevsim salata, soda"
2024-03-01,friday,kilyos,7.79,80,dinner,tarhana corba,pureli tas kebabi,patlican yemegi,"bulgur pilavi, gokkusagi pilavi","meyve, salata, soda"
2024-03-02,saturday,kilyos,7.82,77,dinner,andaloz corba,kiymali ispanak,ispanak yemegi,"gul boregi, eriste","meyve, muzlu puding, limonata"
2024-03-03,sunday,kilyos,6.69,133,dinner,antep corba,etli yaprak sarma,zy.yaprak sarma,"soslu makarna, su boregi","tavuk gogsu, mor salata, soda"
2024-03-04,monday,kilyos,6.76,103,dinner,mercimek corba,firin tavuk but,pirasa yemegi,"melek pilavi, soslu makarna","meyve, coleslaw salata, soda"
2024-03-05,tuesday,kilyos,8.66,81,dinner,tarhana corba,izmir kofte,zy.brokoli,eriste,"meyve, ayran, salata"
2024-03-06,wednesday,kilyos,7.26,49,dinner,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,bulgur pilavi,"salata, ayran, soda"
2024-03-07,thursday,kilyos,7.16,76,dinner,toyga corba,cordon bleu,harput kofte,"soslu spagetti, melek pilavi","meyve, tabule, kazandibi"
2024-03-08,friday,kilyos,6.72,1,dinner,mahluta corba,etli manti,vegan manti,"zy.barbunya, zy. orbit fasulye","limonata, hosmerim, meyve"
2024-03-09,saturday,kilyos,5.72,0,dinner,anadolu corbasi,izmir kofte,zy. bruksel lahanasi,yesil mercimekli bulgur pilavi,"ayran, mevsim salata, meyve"
2024-03-10,sunday,kilyos,6.42,62,dinner,alaca corba,tepsi kebabi,zy. kereviz,bulgur pilavi,"kisir, tulumba tatlisi, soda"
2024-03-11,monday,kilyos,10.97,87,dinner,sebze corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, zerde, yogurt"
2024-03-12,tuesday,kilyos,12.52,98,dinner,antep corba,kekikli misket kofte,harput kofte,"eriste, gokkusagi pilavi","ayran, mor salata, meyve"
2024-03-13,wednesday,kilyos,9.72,115,dinner,mantar corba,pilic topkapi,zy.enginar,"zy. orbit fasulye, saksuka","ayran, cevizli baklava, mor salata"
2024-03-14,thursday,kilyos,8.97,91,dinner,tutmac corba,macar gulas,falafel,"spagetti makarna, zerdecalli pirinc pilavi","meyve, soda, piyaz"
2024-03-15,friday,kilyos,5.62,109,dinner,safak corba,mantar soslu tavuk sinitzel,mantar sote,"soslu makarna, bulgur pilavi","hayrabolu tatlisi, gazoz, meyve"
2024-03-16,saturday,kilyos,7.46,145,dinner,naneli yogurt corba,salcali firin kofte,harput kofte,"spagetti makarna, melek pilavi","fanta, mevsim salata, tulumba tatlisi"
2024-03-17,sunday,kilyos,7.74,61,dinner,domates corba,tavuk baget haslama,sebze buketi,"soslu makarna, kus uzumlu pirinc pilavi","limonata, meyve, cig kofte"
2024-03-18,monday,kilyos,8.14,112,dinner,antep corba,et sote,etsiz barbunya,"ic pilavi, eriste makarna","yogut, soda, mevsim salata"
2024-03-19,tuesday,kilyos,9.24,81,dinner,ezogelin corba,kori soslu pilic sote,karnibahar yemegi,"misirli pirinc pilavi, bulgur pilavi","gazoz, havuc tarator, meyve"
2024-03-20,wednesday,kilyos,6.59,93,dinner,cesmi nigar corba,kabak begendili kebap,sebze graten,"su boregi, nohutlu pirinc pilavi","meyve, mevsim salata, cevizli kadayif"
2024-03-21,thursday,kilyos,6.79,83,dinner,tarhana corba,sulu kofte,patlican yemegi,soslu makarna,"meyve, mevsim salata, pembe sultan"
2024-03-22,friday,kilyos,6.39,100,dinner,mahluta corba,dana haslama,sebze yemegi,eriste,"mevsim salata, yogurt, meyve"
2024-03-23,saturday,kilyos,7.16,123,dinner,bugday corba,cin usulu  tavuk sote,pirasa yemegi,"melek pilavi, sebzeli bulgur pilavi","ayran, meyve, mor salata"
2024-03-24,sunday,kilyos,12.54,144,dinner,sehriye corba,tas kebabi,nohutlu kabak,bulgur pilavi,"mevsim salata, yogurt, meyve"
2024-03-25,monday,kilyos,7.96,107,dinner,arpa sehriyeli corba,tavuk kulbasti,falafel,"eriste, meyhane pilavi","gazoz, mevsim salata, meyve"
2024-03-26,tuesday,kilyos,10.14,94,dinner,naneli yogurt corba,etli nohut,etsiz nohut,bulgur pilavi,"mevsim salata, portakalli gazoz, gullac"
2024-03-27,wednesday,kilyos,14.12,98,dinner,tarhana corba,hasanpasa kofte,patates graten,"nohutlu pilav, eriste","ayran, meyve, mevsim salata"
2024-03-28,thursday,kilyos,17.02,105,dinner,suzme mercimek corba,pilic topkapi,harput kofte,"zy. orbit fasulye, karisik kizartma","tulumba tatlisi, mevsim salata, meyve"
2024-03-29,friday,kilyos,16.17,63,dinner,andaloz corba,etli karisik dolma,zy.dolma,"soslu makarna, su boregi","mevsim salata, meyve, limonata"
2024-03-30,saturday,kilyos,16.36,120,dinner,antep corba,etli nohut,etsiz nohut,"bulgur pilavi, melek pilavi","tursu, fanta, gullac"
2024-03-31,sunday,kilyos,18.22,121,dinner,alaca corba,alinazik kebabi,zy.brokoli,bulgur pilavi,"fanta, mercimek kofte, meyve"
2024-04-01,monday,kilyos,19.3,99,dinner,toyga corba,cin usulu  tavuk sote,mucver,"penne makarna, melek pilavi","gazoz, supangle, salata"
2024-04-02,tuesday,kilyos,20.23,65,dinner,sehriye corba,orman kebabi,bezelye yemegi,"meyhane pilavi, misirli pirinc pilavi","limonata, salata, gullac"
2024-04-03,wednesday,kilyos,13.34,71,dinner,alaca corba,etli guvec,saksuka,"mercimekli bulgur pilavi, melek pilavi","salata, meyve, ayran"
2024-04-04,thursday,kilyos,10.49,60,dinner,antep corba,etli nohut,etsiz nohut,eristeli bulgur pilavi,"tursu, ayran, meyve"
2024-04-05,friday,kilyos,12.69,37,dinner,mahluta corba,kabak begendili kebap,zy. orbit fasulye,"bulgur pilavi, melek pilavi","lokma tatlisi, limonata, salata"
2024-04-06,saturday,kilyos,13.49,56,dinner,,cordon bleu,zy. kereviz,soslu makarna,"gazoz, salata, meyve"
2024-04-07,sunday,kilyos,11.47,43,dinner,safak corba,etli karisik dolma,zy.dolma,"gul boregi, zy.barbunya","salata, meyve, iki renkli muhallebi"
2024-04-08,monday,kilyos,11.37,27,dinner,mantar corba,kekikli misket kofte,patlican tava,"eriste, melek pilavi","komposto, mevsim salata, kisir"
2024-04-09,tuesday,kilyos,12.16,21,dinner,tarhana corba,etli manti,vegan manti,"zy.barbunya, zy. orbit fasulye","mevsim salata, soda, cevizli kadayif"
2024-04-10,wednesday,kilyos,11.37,25,dinner,sehriye corba,izmir kofte,falafel,zy.barbunya,"yogurt, mevsim salata, brownie"
2024-04-11,thursday,kilyos,12.77,30,dinner,koylu corba,tavuk kok kanat,zy.mantar,"melek pilavi, soslu makarna","cilekli puding, meyve, mevsim salata"
2024-04-12,friday,kilyos,12.97,22,dinner,alaca corba,tas kebabi,falafel,"bulgur pilavi, melek pilavi","soda, mevsim salata, meyve"
2024-04-13,saturday,kilyos,12.77,34,dinner,antep corba,manisa kirkagac kofte,karnabahar yemegi,soslu makarna,"gazoz, meyve, muzlu puding"
2024-04-14,sunday,kilyos,14.84,79,dinner,vitamin corba,tepsi kebabi,zy. bruksel lahanasi,"su boregi, zerdecalli pirinc pilavi","kirmizi pancar salata, revani, meyve"
2024-04-15,monday,kilyos,18.72,49,dinner,domates corba,etli guvec,etsiz guvec,bulgur pilavi,"limonata, meyve, salata"
2024-04-16,tuesday,kilyos,21.19,50,dinner,safak corba,bahcivan kebabi,nohutlu kabak,"bulgur pilavi, napoliten soslu makarna","visne soslu muhallebi, mevsim salata, meyve"
2024-04-17,wednesday,kilyos,19.56,83,dinner,krutonlu mercimek corba,tavuk doner,mucver,kori soslu makarna,"gobek salata, limonata, meyve"
2024-04-18,thursday,kilyos,12.66,62,dinner,antep corba,nugget + patates,sebze buketi,"su boregi, soslu makarna","kabak borani, meyve, gazoz"
2024-04-19,friday,kilyos,12.39,67,dinner,mahluta corba,patlican oturtma,saksuka,eriste,"mozaik pasta, meyve, mevsim salata"
2024-04-20,saturday,kilyos,11.09,100,dinner,tarhana corba,etli manti,vegan manti,"zy. taze fasulye, zy. bruksel lahana","fanta, mevsim salata, kazandibi"
2024-04-21,sunday,kilyos,12.74,0,dinner,alaca corba,,zy. patlican dolma,"spagetti makarna, gul boregi","limonata, mevsim salata, meyve"
2024-04-22,monday,kilyos,13.41,0,dinner,sehriye corba,kiymali ispanak,ispanak yemegi,"eriste, su boregi","fanta, mevsim salata, kadayifli muhallebi"
2024-04-23,tuesday,kilyos,14.49,0,dinner,elvankiz corba,meksika soslu tavuk,nohutlu kabak,"kori soslu makarna, melek pilavi","gazoz, meyve, mevsim salata"
2024-04-24,wednesday,kilyos,17.67,0,dinner,domates corba,kiymali karnabahar,karnabahar graten,"soslu spagetti, su boregi","trilece, soda, mevsim salata"
2024-04-25,thursday,kilyos,18.77,4,dinner,sebze corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, yogurt, sekerpare"
2024-04-26,friday,kilyos,13.02,65,dinner,yayla corba,orman kebabi,bezelye yemegi,"melek pilavi, soslu makarna","mevsim salata, meyve, soda"
2024-04-27,saturday,kilyos,13.09,116,dinner,ezogelin corba,yayla soslu tavuk,zy.mantar,bulgur pilavi,"acili ezme, meyve, fanta"
2024-04-28,sunday,kilyos,13.79,0,dinner,krutonlu domates corba,etli bezelye,bezelye yemegi,meyhane pilavi,"misirli salata, soda, sutlac"
2024-04-29,monday,kilyos,13.29,89,dinner,ezogelin corba,adana kofte,mantar sote,soslu makarna,"mevsim salata, meyve, soda"
2024-04-30,tuesday,kilyos,13.99,50,dinner,antep corba,etli turlu,sebze yemegi,peynirli makarna,"ayran, soda, mevsim salata"
2024-05-01,wednesday,kilyos,13.14,78,dinner,mahluta corba,ciftlik kebabi,nohutlu kabak,"bulgur pilavi, misirli pirinc pilavi","cacik, meyve, salata"
2024-05-02,thursday,kilyos,14.02,51,dinner,ezogelin corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, sekerpare, yogurt"
2024-05-03,friday,kilyos,14.97,69,dinner,alaca corba,etli manti,vejetaryen manti,"saksuka, mucver","supangle, meyve, mercimek kofte"
2024-05-04,saturday,kilyos,13.09,86,dinner,antep corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, gul boregi","salata, meyve, yogurt"
2024-05-05,sunday,kilyos,11.87,103,dinner,sehriye corba,kadinbudu kofte,zy. bruksel lahanasi,"soslu makarna, zy.barbunya","meyve, salata, gazoz"
2024-05-06,monday,kilyos,12.37,59,dinner,kremali kabak corba + vegan corba,nohutlu kiymali ispanak yemegi,nohutlu ispanak yemegi,"gul boregi, soslu makarna","mozaik pasta, meyve, limonata"
2024-05-07,tuesday,kilyos,17.31,75,dinner,safak corba,firin kofte,falafel,"soslu makarna, melek pilavi","ayran, salata, meyve"
2024-05-08,wednesday,kilyos,14.91,38,dinner,mantar corba,kiymali karnabahar,karnabahar yemegi,eriste,"kadayifli muhallebi, mevsim salata, meyve"
2024-05-09,thursday,kilyos,14.44,79,dinner,yayla corba,kekikli pilic kavurma,patates graten,soslu makarna,"tabule, ayran, soda"
2024-05-10,friday,kilyos,14.49,69,dinner,sehriye corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, cacik, meyve"
2024-05-11,saturday,kilyos,12.74,91,dinner,koylu corba,eksili kofte,mucver,"eriste, tepsi boregi","soda, meyve, iki renkli muhallebi"
2024-05-12,sunday,kilyos,13.91,114,dinner,alaca corba,pilic special but,zy. bruksel lahanasi,"bulgur pilavi, ic pilavi","limonata, havuc tarator, meyve"
2024-05-13,monday,kilyos,12.27,59,dinner,antep corba,kiymali yesil mercimek,yesil mercimek yemegi,"eriste, kol boregi","soda, baklava, meyve"
2024-05-14,tuesday,kilyos,12.34,93,dinner,vitamin corba,mantar soslu tavuk sote,mantar sote,soslu makarna,"meyve suyu, kisir, meyve"
2024-05-15,wednesday,kilyos,12.91,45,dinner,naneli yogurt corba,etli barbunya,zy.barbunya,bulgur pilavi,"ayran, lokma tatlisi, tursu"
2024-05-16,thursday,kilyos,13.99,56,dinner,safak corba,kiymali ispanak,ispanak yemegi,"su boregi, eriste","meyve, mevsim salata, supangle"
2024-05-17,friday,kilyos,14.29,60,dinner,naneli yogurt corba,ciftlik kebabi,zy. taze fasulye,bulgur pilavi,"yogurt, mevsim salata, hayrabolu tatlisi, vegan tatli"
2024-05-18,saturday,kilyos,14.64,111,dinner,alaca corba,pilic kofte,karnabahar yemegi,"soslu makarna, melek pilavi","limonata, meyve, havuc borani"
2024-05-19,sunday,kilyos,14.81,62,dinner,antep corba,kiymali yesil mercimek,yesil mercimek yemegi,"kuskus makarna, gul boregi","zerde, mevsim salata, meyve"
2024-05-20,monday,kilyos,15.39,91,dinner,koylu corba,kis turlusu,sebze sote,"meyhane pilavi, melek pilavi","cacik, meyve, tulumba tatlisi, vegan tatli"
2024-05-21,tuesday,kilyos,15.29,112,dinner,yayla corba,nohutlu misket kofte,etsiz nohut,"penne makarna, pirinc pilavi","limonata, mevsim salata, cig kofte"
2024-05-22,wednesday,kilyos,15.89,62,dinner,mahluta corba,sucuklu kuru fasulye,etsiz kuru fasulye,"meyhane pilavi, melek pilavi","tursu, kazandibi, meyve"
2024-05-23,thursday,kilyos,15.62,73,dinner,anadolu corbasi,kiymali ispanak,ispanak yemegi,"kol boregi, spagetti makarna","gazoz, mevsim salata, meyve"
2024-05-24,friday,kilyos,16.64,121,dinner,andaloz corba,cin usulu  tavuk sote,falafel,"misirli pirinc pilavi, spagetti makarna","gazoz, mevsim salata, cilekli puding"
2024-05-25,saturday,kilyos,16.64,65,dinner,sebze corba,patates oturtma,patates yemegi,"soslu makarna, pirinc pilavi","haydari, mevsim salata, meyve"
2024-05-26,sunday,kilyos,15.97,147,dinner,safak corba,tavuk doner,nohutlu kabak,"bulgur pilavi, pirinc pilavi","ayran, mevsim salata, meyve"
2024-05-27,monday,kilyos,15.41,80,dinner,koy corbasi,etli turlu,sebze yemegi,"su boregi, pirinc pilavi","cevizli kadayif, yogurt, limonata"
2024-05-28,tuesday,kilyos,15.62,75,dinner,krutonlu domates corba,patlican oturtma,patlican tava,"melek pilavi, bulgur pilavi","cacik, mevsim salata, revani, vegan tatli"
2024-05-29,wednesday,kilyos,19.22,69,dinner,mantar corba,etli bezelye,bezelye yemegi,"bulgur pilavi, pirinc pilavi","yogurt, meyve, sutlac"
2024-05-30,thursday,kilyos,20.3,70,dinner,cennet corba,et sote,nohutlu kabak,"zerdecalli pirinc pilavi, meyhane pilavi","soda, kabak borani, meyve"
2024-05-31,friday,kilyos,22.6,90,dinner,antep corba,orman kebabi,bezelye yemegi,"bulgur pilavi, pirinc pilavi","yogurt, meyve, supangle, vegan tatli"
2024-06-01,saturday,kilyos,23.8,112,dinner,domates corba,kori soslu tavuk sote,sebze buketi,"soslu makarna, melek pilavi","meyve, salata, soda"
2024-06-02,sunday,kilyos,22.56,110,dinner,yayla corba,ciftlik kofte,nohutlu kabak,"bulgur pilavi, melek pilavi","ayran, meyve, salata"
2024-06-03,monday,kilyos,22.3,62,dinner,ezogelin corba,etli manti,vegan manti,"zeytinyagli barbunya, saksuka","muzlu puding, meyve, coban salata"
2024-06-04,tuesday,kilyos,24.56,74,dinner,ezogelin corba,etli mantar sote,mantar sote,"soslu makarna, yesil mercimekli bulgur pilavi","meyve suyu, salata, tulumba tatlisi"
2024-06-05,wednesday,kilyos,22.4,37,dinner,tarhana corba,etli patlican dolma,zy. patlican dolma,"gul boregi, soslu makarna","sutlu irmik tatli, meyve, soda"
2024-06-06,thursday,kilyos,21.98,49,dinner,mahluta corba,rosto kofte,zy. bamya,"pirinc pilavi, eriste","ayran, salata, meyve"
2024-06-07,friday,kilyos,21.44,52,dinner,domates corba,pilic kulbasti,patates graten,"penne makarna, misirli pirinc pilavi","soda, meyve, havuc tarator"
2024-06-08,saturday,kilyos,21.72,22,dinner,koylu corba,pilicli patlican kebap,imambayildi,"kuskus, pirinc pilavi","cacik, meyve, zerde tatlisi"
2024-06-09,sunday,kilyos,21.92,22,dinner,anadolu corbasi,etli taze fasulye,zy. taze fasulye,"pirinc pilavi, bulgur pilavi","fanta, meyve, visne soslu muhallebi"
2024-06-10,monday,kilyos,23.14,10,dinner,antep corba,kiymali ispanak,ispanak yemegi,"eriste, su boregi","kazandibi, meyve, gazoz"
2024-06-11,tuesday,kilyos,30.02,9,dinner,mantar corba,kiymali patates oturtma,etsiz patates yemegi,"soslu spagetti, melek pilavi","dondurma, mercimek kofte, limonata"
2024-06-12,wednesday,kilyos,24.19,8,dinner,domates corba,ciftlik kebabi,etsiz taze fasulye,"domatesli bulgur pilavi, pirinc pilavi","yogurt, meyve, sutlac"
2024-06-13,thursday,kilyos,24.06,9,dinner,koy corbasi,kadinbudu kofte,mucver,"peynirli makarna, zy. orbit fasulye","soda, salata, meyve"
2024-06-14,friday,kilyos,20.02,8,dinner,romen corba,tavuk fajita,falafel,"soslu makarna, zerdecalli pirinc pilavi","fanta, meyve, salata"
2024-06-15,saturday,kilyos,21.1,6,dinner,tarhana corba,kiymali yesil mercimek,yesil mercimek yemegi,"tepsi boregi, eriste","mozaik pasta, meyve, patates salata"
2024-06-16,sunday,kilyos,22.05,10,dinner,antep corba,eksili kofte,etsiz bezelye,"soslu makarna, gul boregi","meyve suyu, salata, gazoz"
2024-06-17,monday,kilyos,22.1,5,dinner,sultan corba,etli kabak dolma,zy.kabak dolma,"karisik kizartma, soslu makarna","meyve, acili ezme, visneli soda"
2024-06-18,tuesday,kilyos,22.72,0,dinner,antep corba,pureli rosto kofte,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","salata, revani, meyve"
2024-06-19,wednesday,kilyos,22.44,0,dinner,yayla corba,karniyarik,imambayildi,"domatesli bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, tulumba tatlisi"
2024-06-20,thursday,kilyos,22.98,0,dinner,suzme mercimek corba,meksika soslu tavuk,patates graten,"penne makarna, melek pilavi","ayran, meyve, keskul"
2024-06-21,friday,kilyos,23.06,0,dinner,sehriye corba,etli taze fasulye,etsiz taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, meyve, gazoz"
2024-06-22,saturday,kilyos,22.4,6,dinner,soguk ayranasi corba,nugget + patates,nohutlu kabak yemegi,"firin makarna, arpa sehriyeli pilav","fanta, amerikan salata, meyve"
2024-06-23,sunday,kilyos,22.6,6,dinner,safak corba,etli barbunya,sicak barbunya,"bulgur pilavi, pirinc pilavi","tursu, meyve, limonata"
2024-06-24,monday,kilyos,22.69,16,dinner,tarhana corba,mantarli tavuk sote,mantar yemegi,"melek pilavi, soslu makarna","limonata, meyve, coban salata"
2024-06-25,tuesday,kilyos,22.73,1,dinner,mantar corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, soslu spagetti","hayrabolu tatlisi, meyve, salata"
2024-06-26,wednesday,kilyos,23.06,2,dinner,domates corba,orman kebabi,bezelye yemegi,"bulgur pilavi, melek pilavi","yogurt, komposto, salata"
2024-06-27,thursday,kilyos,22.36,2,dinner,antep corba,sucuklu kuru fasulye,etsiz kuru fasulye,"meyhane pilavi, pirinc pilavi","tursu, ayran, meyve"
2024-06-28,friday,kilyos,23.44,1,dinner,yogurtlu nane corba,etli taze fasulye,etsiz taze fasulye,"pirinc pilavi, soslu makarna","kazandibi, meyve, salata"
2024-06-29,saturday,kilyos,23.4,9,dinner,mercimek corba,beef navarin,zy.brokoli,"pirinc pilavi, soslu makarna","salata, ayran, meyve"
2024-06-30,sunday,kilyos,23.45,1,dinner,yayla corba,izmir kofte,patlican yemegi,"pirinc pilavi, bulgur pilavi","kabak borani, fanta, salata"
2024-01-01,monday,kandilli,14.34,162,lunch,toyga corba,adana kofte,bugdayli pazi,mercimekli bulgur pilavi,"salata, meyve, portakalli gazoz"
2024-01-02,tuesday,kandilli,12.39,171,lunch,alaca corba,tas kebabi,zy. bruksel lahanasi,eriste,"profiterol, mor salata, gazoz"
2024-01-03,wednesday,kandilli,13.94,231,lunch,kafkas corba,meksika soslu tavuk,zy.kereviz,"nohutlu pirinc pilavi, kuskus","salata, ayran, lokma tatlisi"
2024-01-04,thursday,kandilli,15.22,106,lunch,tavuk suyu corba,kiymali ispanak,bugdayli nohutlu ispanak,"soslu makarna, su boregi","puding, salata, meyve"
2024-01-05,friday,kandilli,13.87,167,lunch,safak corba,bahcivan kebabi,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","cacik, soda, salata"
2024-01-06,saturday,kandilli,14.64,39,lunch,mercimek corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, salata, gazoz"
2024-01-07,sunday,kandilli,13.81,220,lunch,tarhana corba,sebzeli tavuk sote,zy.pirasa,"zerdecalli pirinc pilavi, kuskus","mor salata, meyve, soda"
2024-01-08,monday,kandilli,13.94,153,lunch,mahluta corba,etli mantar sote,mantar sote,peynirli makarna,"lokma tatlisi, ayran, salata"
2024-01-09,tuesday,kandilli,3.79,357,lunch,andaloz corba,et doner,saksuka,bulgur pilavi,"sutlac, soda, yogurt"
2024-01-10,wednesday,kandilli,3.96,205,lunch,sef'in corbasi,etli nohut,etsiz nohut,bulgur pilavi,"yogurt, salata, portakalli gazoz"
2024-01-11,thursday,kandilli,4.57,167,lunch,kabak corba,etli guvec,sebze guvec,"arpa sehriye pilavi, bulgur pilavi","ayran, meyve, salata"
2024-01-12,friday,kandilli,4.16,162,lunch,yayla corba,izmir kofte,zy.orbit fasulye,soslu makarna,"haydari, meyve, limonata"
2024-01-13,saturday,kandilli,3.09,115,lunch,koy corbasi,kori soslu tavuk sote,zy.barbunya,"soslu spagetti, nohutlu pirinc pilavi","kazandibi, salata, meyve"
2024-01-14,sunday,kandilli,5.22,35,lunch,domates corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","tulumba tatlisi, mor salata, portakalli gazoz"
2024-01-15,monday,kandilli,11.04,176,lunch,tarhana corba,tavuk doner,saksuka,soslu makarna,"meyve, profiterol, ayran"
2024-01-16,tuesday,kandilli,9.52,122,lunch,krutonlu domates corba,soslu mitite kofte,zy.kereviz,"bulgur pilavi, nohutlu pirinc pilavi","piyaz, soda, meyve"
2024-01-17,wednesday,kandilli,11.62,83,lunch,toyga corba,etli mantar sote,sebzeli mantar graten,zerdecalli makarna,"tulumba tatlisi, meyve, salata"
2024-01-18,thursday,kandilli,13.89,78,lunch,yayla corba,sucuklu kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-01-19,friday,kandilli,16.23,112,lunch,koylu corba,firin tavuk sis,falafel,soslu makarna,"amerikan salata, gazoz, meyve"
2024-01-20,saturday,kandilli,5.34,17,lunch,naneli yogurt corba,firin kofte + patates,zy.orbit fasulye,soslu makarna,"ispanak tarator, gazoz, meyve"
2024-01-21,sunday,kandilli,5.64,10,lunch,sef'in corbasi,tavuk schnitzel,zy. bruksel lahanasi,"soslu makarna, nohutlu pirinc pilavi","salata, meyve, portakalli gazoz"
2024-01-22,monday,kandilli,5.26,73,lunch,suzme mercimek corba,orman kebabi,sebze graten,bulgur pilavi,"limonata, meyve, mercimek kofte"
2024-01-23,tuesday,kandilli,7.26,67,lunch,antep corba,icli kofte,mucver,"firin makarna, zy.orbit fasulye","soda, mevsim salata, ayran"
2024-01-24,wednesday,kandilli,6.02,51,lunch,tarhana corba,etli turlu,sebze turlu,meyhane pilavi,"salata, meyve, muzlu puding"
2024-01-25,thursday,kandilli,8.54,52,lunch,mahluta corba,etli nohut,etsiz nohut,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, salata, meyve"
2024-01-26,friday,kandilli,7.86,46,lunch,safak corba,etli bezelye,etsiz bezelye,mercimekli bulgur pilavi,"ayran, salata, meyve"
2024-01-27,saturday,kandilli,7.82,7,lunch,antep corba,izmir kofte,zy. bruksel lahanasi,"misirli eriste, garniturlu pirinc pilavi","ayran, meyve, salata"
