date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-07-06,cumartesi,aksam yemegi,safak corba,kiymali ispanak yemegi,nohutlu ispanak yemegi,"arpa sehriye pilavi, kol boregi","gazoz, meyve, coban salata"
2024-07-07,pazar,ogle yemegi,mahluta corba,etli guvec,sebze sote,"bulgur pilavi, eriste","haydari, meyve, soda"
2024-07-07,pazar,aksam yemegi,sehriye corba,pilic kofte + patates,karnabahar graten,"melek pilavi, penne makarna","limonata, meyve, kibris tatli"
2024-07-08,pazartesi,ogle yemegi,andaloz corba,tas kebabi,bamya yemegi,"bulgur pilavi, pirinc pilavi","ayran, coban salata, meyve"
2024-07-08,pazartesi,aksam yemegi,krutonlu domates corba,etli manti,etsiz nohut,"saksuka, zy.barbunya","gazoz, patates salata, kadayifli muhallebi"
2024-07-09,sali,ogle yemegi,suzme mercimek corba,mantar soslu tavuk sote,yesil mercimek yemegi,"garniturlu pirinc pilavi, peynirli makarna","zerde tatlisi, ayran, kisir"
2024-07-09,sali,aksam yemegi,mantar corba,etli bezelye,bezelye yemegi,"bulgur pilavi, melek pilavi","yogurt, mevsim salata, meyve"
2024-07-10,carsamba,ogle yemegi,kekikli yayla corbasi,et doner,sebze buketi,"sehriyeli pirinc pilavi, bolonez soslu makarna","kola, trilece, meyve"
2024-07-10,carsamba,aksam yemegi,vitamin corba,patlican oturtma,imambayildi,"pirinc pilavi, soslu makarna","cacik, fanta, mevsim salata"
2024-07-11,persembe,ogle yemegi,sebze corba,pideli kofte,harput kofte,"feslegen soslu makarna, misirli pirinc pilavi","meyve, soda, magnolia"
2024-07-11,persembe,aksam yemegi,alaca corba,tavuklu mantar sote,mantar sote,"peynirli makarna, bulgur pilavi","gazoz, meyve, coban salata"
2024-07-12,cuma,ogle yemegi,sehriye corba,kabak begendili kebap,kabak yemegi,"kuskus, pirinc pilavi","meyve, semizotu salata, limonata"
2024-07-12,cuma,aksam yemegi,sef'in corbasi,kiymali yesil mercimek,eristeli yesil mercimek yemegi,"eriste, bulgur pilavi","supangle, meyve, soda"
2024-07-13,cumartesi,ogle yemegi,yogurt corba,hamburger,vegan kofte,"sogan halkasi, patates kizartmasi","portakalli gazoz, amerikan salata, meyve"
2024-07-13,cumartesi,aksam yemegi,mercimek corba,izgara kofte,sicak barbunya,"bulgur pilavi, arpa sehriye pilavi","mevsim salata, cacik, meyve"
2024-07-14,pazar,ogle yemegi,antep corba,kori soslu tavuk sote,karisik kizartma,"penne makarna, tepsi boregi","ayran, mevsim salata, meyve"
2024-07-14,pazar,aksam yemegi,krutonlu domates corba,orman kebabi,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","coban salata, meyve, sutlu irmik tatlisi"
2024-07-15,pazartesi,ogle yemegi,cennet corba,etli taze fasulye,zy. taze fasulye,"melek pilavi, bulgur pilavi","limonata, coban salata, brownie"
2024-07-15,pazartesi,aksam yemegi,tarhana corba,firin tavuk baget,falafel,"pirinc pilavi, soslu makarna","meyve, soda, misirli salata"
2024-07-16,sali,ogle yemegi,ayranasi corba,adana kofte,mucver,"zy.barbunya, zerdecalli pirinc pilavi","meyve, iki renkli muhallebi, gazoz"
2024-07-16,sali,aksam yemegi,sebze corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","ayran, tursu, meyve"
2024-07-17,carsamba,ogle yemegi,suzme mercimek corba,pilic special but,vegan hamburger,"nohutlu pirinc pilavi, soslu makarna","cheesecake, soda, coban salata"
2024-07-17,carsamba,aksam yemegi,kremali mantar corba,izmir kofte,etsiz kuru fasulye,"melek pilavi, bulgur pilavi","ayran, meyve, acili ezme"
2024-07-18,persembe,ogle yemegi,tutmac corba,et doner,saksuka,"melek pilavi, kremali makarna","ayran, kisir, coban salata"
2024-07-18,persembe,aksam yemegi,brokoli corba,etli patlican dolma,zy. patlican dolma,"soslu makarna, kol boregi","revani, meyve, limonata"
2024-07-19,cuma,ogle yemegi,alaca corba,etli guvec,sebze buketi,"bulgur pilavi, pirinc pilavi","ayran, meyveli soda, asure"
2024-07-19,cuma,aksam yemegi,mantar corba,meksika soslu tavuk,patates graten,"domates soslu makarna, pirinc pilavi","mevsim salata, portakalli gazoz, meyve"
2024-07-20,cumartesi,ogle yemegi,sebze corba,pizza,dovmec,"sogan halkasi, firin patates","portakalli gazoz, supangle, meyve"
2024-07-20,cumartesi,aksam yemegi,tarhana corba,kiymali yesil mercimek,yesil mercimek yemegi,"gul boregi, zy. orbit fasulye","meyve, kibris tatli, limonata"
2024-07-21,pazar,ogle yemegi,ezogelin corba,pilic emense,sicak barbunya,"soslu makarna, eriste","meyve, soda, mevsim salata"
2024-07-21,pazar,aksam yemegi,naneli yogurt corba,tas kebabi,bruksel lahana,"bulgur pilavi, misirli pirinc pilavi","limonata, meyve, sekerpare"
2024-07-22,pazartesi,ogle yemegi,kabak corba,sucuklu kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","yogurt, tursu, gazoz"
2024-07-22,pazartesi,aksam yemegi,suzme mercimek corba,sulu kofte,bezelye yemegi,"bulgur pilavi, pirinc pilavi","brownie, soda, mevsim salata"
2024-07-23,sali,ogle yemegi,mahluta corba,alinazik kebabi,nohutlu kabak yemegi,"garniturlu pirinc pilavi, bulgur pilavi","soda, meyve, acili ezme"
2024-07-23,sali,aksam yemegi,tarhana corba,nugget + patates,sebzeli mantar graten,"soslu spagetti, melek pilavi","portakalli gazoz, kisir, keskul"
2024-07-24,carsamba,ogle yemegi,krutonlu domates corba,pilic portekiz,falafel,"nohutlu pirinc pilavi, bolonez soslu makarna","ayran, brownie, mevsim salata"
2024-07-24,carsamba,aksam yemegi,koylu corba,orman kebabi,sicak barbunya,"meyhane pilavi, misirli pirinc pilavi","yogurt, gazoz, meyve"
2024-07-25,persembe,ogle yemegi,kafkas corba,kori soslu tavuk sote,nohut yemegi,"kekik soslu makarna, misirli pirinc pilavi","mevsim salata, meyve, trilece"
2024-07-25,persembe,aksam yemegi,sehriye corba,kiymali ispanak yemegi,ispanak yemegi,"patatesli kol boregi, soslu makarna","kadayifli muhallebi, mevsim salata, soda"
2024-07-26,cuma,ogle yemegi,suzme mercimek corba,icli kofte,yesil mercimek,"soslu makarna, melek pilavi","meyveli soda, meyve, dondurma"
2024-07-26,cuma,aksam yemegi,patates corba,etli nohut,nohut yemegi,"bulgur pilavi, misirli pirinc pilavi","tursu, cacik, meyve"
2024-07-27,cumartesi,ogle yemegi,alaca corba,etli taze fasulye,taze fasulye,"melek pilavi, mercimekli bulgur pilavi","yogurt, meyve, kola"
2024-07-27,cumartesi,aksam yemegi,ispanak corba,izmir kofte,yesil mercimek kofte,"soslu makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-07-28,pazar,ogle yemegi,naneli yogurt corba,karniyarik,imambayildi,"bulgur pilavi, melek pilavi","cacik, portakalli gazoz, meyve"
2024-07-28,pazar,aksam yemegi,koylu corba,pilic kavurma,sebze graten,"pirinc pilavi, soslu makarna","sekerpare, mevsim salata, limonata"
2024-07-29,pazartesi,ogle yemegi,antep corba,etli karisik dolma,zy.dolma,"su boregi, domates soslu makarna","mevsim salata, meyve, supangle"
2024-07-29,pazartesi,aksam yemegi,ayranasi corba,beef navarin,bugdayli semizotu yemegi,"nohutlu pirinc pilavi, domates soslu makarna","mevsim salata, meyve, limonata"
2024-07-30,sali,ogle yemegi,sebze corba,kok kanat + patates,falafel,"soslu makarna, bulgur pilavi","ayran, coban salata, meyve"
2024-07-30,sali,aksam yemegi,tutmac corba,soslu mitite kofte,harput kofte,"tepsi boregi, misirli pirinc pilavi","mevsim salata, gazoz, meyve"
2024-07-31,carsamba,ogle yemegi,suzme mercimek corba,pilic emense,saksuka,"nohutlu pirinc pilavi, tel sehriyeli bulgur pilavi","tulumba, limonata, meyve"
2024-07-31,carsamba,aksam yemegi,ezogelin corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","limonata, firin sutlac, tursu"
2024-08-01,persembe,ogle yemegi,mantar corba,ciftlik kebabi,sebze sote,"bulgur pilavi, melek pilavi","kakaolu puding, mevsim salata, limonata"
2024-08-01,persembe,aksam yemegi,eristeli yesil mercimek corbasi,kori soslu tavuk sote,falafel,"soslu makarna, misirli pirinc pilavi","ayran, mevsim salata, meyve"
2024-08-02,cuma,ogle yemegi,koz biber corbasi,et doner,patates yemegi,"bulgur pilavi, pirinc pilavi","mevsim salata, meyve, magnolia"
2024-08-02,cuma,aksam yemegi,ezogelin corba,etli nohut,nohut yemegi,"bulgur pilavi, melek pilavi","tursu, yogurt, meyve"
2024-08-03,cumartesi,ogle yemegi,tarhana corba,sebzeli kofte,mucver,"lorlu makarna, pirinc pilavi","revani, meyve, limonata"
2024-08-03,cumartesi,aksam yemegi,alaca corba,etli biber dolma,zy.biber dolma,"zy.barbunya, su boregi","kemalpasa, gazoz, meyve"
2024-08-04,pazar,ogle yemegi,domates corba,etli sebzeli guvec,imambayildi,"bulgur pilavi, zerdecalli pirinc pilavi","ispanak borani, meyve, gazoz"
2024-08-04,pazar,aksam yemegi,mahluta corba,pilic kofte,bezelye yemegi,"melek pilavi, firin makarna","ayran, soda, mevsim salata"
2024-08-05,pazartesi,ogle yemegi,krutonlu mercimek corba,tavuk doner,harput kofte,"soslu makarna, pirinc pilavi","ayran, meyve, mevsim salata"
2024-08-05,pazartesi,aksam yemegi,yayla corba,patlican oturtma,patlican yemegi,"bulgur pilavi, arpa sehriye pilavi","cacik, meyve, soda"
2024-08-06,sali,ogle yemegi,safak corba,izmir kofte,etsiz nohut,"soslu makarna, garniturlu pirinc pilavi","meyveli gazoz, sutlac, meyve"
2024-08-06,sali,aksam yemegi,koy corbasi,etli taze fasulye,taze fasulye,"domatesli bulgur pilavi, melek pilavi","gazoz, mevsim salata, dondurma"
2024-08-07,carsamba,ogle yemegi,gazpacho corbasi,tavuk fajita,kuru patlican dolma,"penne makarna, nohutlu pirinc pilavi","cheesecake, limonata, kisir"
2024-08-07,carsamba,aksam yemegi,tarhana corba,kiymali yesil mercimek,yesil mercimek yemegi,"eriste, gul boregi","meyve, mevsim salata, profiterol"
2024-08-08,persembe,ogle yemegi,suzme mercimek corba,kabak begendili kebap,nohutlu kabak yemegi,"zerdecalli pirinc pilavi, domates soslu makarna","soda, meyve, trilece"
2024-08-08,persembe,aksam yemegi,antep corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","tursu, meyve, mevsim salata"
2024-08-09,cuma,ogle yemegi,ayranasi corba,pilic sis,falafel,"kori soslu makarna, melek pilavi","meyve, mevsim salata, sakizli muhallebi"
2024-08-09,cuma,aksam yemegi,tarhana corba,kibrit kebabi,patates yemegi,"nohutlu pirinc pilavi, eriste","coban salata, meyve, gazoz"
2024-08-10,cumartesi,ogle yemegi,yesil mercimek corba,kiymali karnabahar graten,karnabahar graten,"soslu makarna, su boregi","meyve, patates salata, ayran"
2024-08-10,cumartesi,aksam yemegi,arpa sehriyeli corba,tavuk baget haslama,saksuka,"peynirli yuksuk makarna, bulgur pilavi","sekerpare, yogurt, meyve"
2024-08-11,pazar,ogle yemegi,brokoli corba,cin usulu pilic kavurma,mucver,"bolonez soslu spagetti, melek pilavi","soda, cilekli puding, mevsim salata"
2024-08-11,pazar,aksam yemegi,kremali mantar corba,kabak begendili kebap,kabak kalye,"sebzeli bulgur pilavi, pirinc pilavi","komposto, mevsim salata, meyve"
2024-08-12,pazartesi,ogle yemegi,dugun corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","tursu, yogurt, meyve"
2024-08-12,pazartesi,aksam yemegi,ezogelin corba,tavuklu mantar sote,sebzeli mantar sote,"nohutlu pirinc pilavi, soslu makarna","ayran, irmik helva, mevsim salata"
2024-08-13,sali,ogle yemegi,tel sehriye corba,hasanpasa kofte,yesil mercimek kofte,"arpa sehriyeli pirinc pilavi, kekik soslu makarna","cheesecake, mevsim salata, meyve suyu"
2024-08-13,sali,aksam yemegi,mahluta corba,etli bezelye,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","mozaik pasta, mevsim salata, meyve"
2024-08-14,carsamba,ogle yemegi,krutonlu mercimek corba,kremali tavuk sote,vegan hamburger,"firik pilavi, garniturlu pirinc pilavi","tiramisu, cacik, limonata"
2024-08-14,carsamba,aksam yemegi,sifa corba,orman kebabi,taze fasulye,"bulgur pilavi, soslu makarna","yogurt, mevsim salata, meyve"
2024-08-15,persembe,ogle yemegi,safak corba,islim kofte,nohutlu kabak yemegi,"domatesli bulgur pilavi, ic pilavi","cacik, meyve, limonata"
2024-08-15,persembe,aksam yemegi,sef'in corbasi,meksika soslu tavuk,sebze buketi,"soslu makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-08-16,cuma,ogle yemegi,naneli yogurt corba,et doner,falafel,"pirinc pilavi, soslu makarna","ayran, revani, mevsim salata"
2024-08-16,cuma,aksam yemegi,krutonlu domates corba,firin tavuk baget,patates yemegi,"zy.barbunya, pirinc pilavi","limonata, meyve, mercimek kofte"
2024-08-17,cumartesi,ogle yemegi,antep corba,pizza,mucver,"firin patates, sogan halkasi","islak kek, mevsim salata, kola"
2024-08-17,cumartesi,aksam yemegi,koy corbasi,kiymali ispanak,ispanak graten,"firin makarna, bulgur pilavi","limonata, keskul, meyve"
2024-08-18,pazar,ogle yemegi,alaca corba,tavuk kok kanat,kabak kalye,"bulgur pilavi, melek pilavi","ayran, soda, meyve"
2024-08-18,pazar,aksam yemegi,ezogelin corba,eksili kofte,bezelye yemegi,"arpa sehriye pilavi, bulgur pilavi","mevsim salata, meyve, peynir tatlisi"
2024-08-19,pazartesi,ogle yemegi,elvankiz corba,mantar soslu tavuk,vegan hamburger,"soslu makarna, pirinc pilavi","haydari, mevsim salata, gazoz"
2024-08-20,sali,ogle yemegi,toyga corba,rosto kofte,etsiz taze fasulye,"soslu makarna, pirinc pilavi","mevsim salata, meyve, meyveli soda"
2024-08-21,carsamba,ogle yemegi,ezogelin corba,tavuk sandal,fellah kofte,"ic pilavi, firin makarna","kola, profiterol, mevsim salata"
2024-08-22,persembe,ogle yemegi,mahluta corba,kiymali patates oturtma,patates graten,"soslu spagetti, kol boregi","meyve, mevsim salata, kibris tatli"
2024-08-23,cuma,ogle yemegi,ezogelin corba,pilic topkapi,mucver,"zy.barbunya, saksuka","limonata, mevsim salata, meyve"
2024-08-26,pazartesi,ogle yemegi,domates corba,tavuk baget haslama,zy.barbunya,"soslu spagetti, melek pilavi","amerikan salata, meyve, limonata"
2024-08-27,sali,ogle yemegi,antep corba,hamburger,vegan hamburger,"sogan halkasi, patates kizartmasi","kola, meyve, brownie"
2024-08-28,carsamba,ogle yemegi,naneli yogurt corba,bolu kebabi,saksuka,"bademli pilav, penne makarna","cheesecake, kola, mevsim salata"
2024-08-29,persembe,ogle yemegi,mahluta corba,tas kebabi,patates yemegi,"bulgur pilavi, pirinc pilavi","meyve, mevsim salata, ayran"
2024-09-02,pazartesi,ogle yemegi,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-03,sali,ogle yemegi,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-04,carsamba,ogle yemegi,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-05,persembe,ogle yemegi,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-06,cuma,ogle yemegi,mercimek corba,iskender kebap,bezelyeli vegan misket kofte,"bulgur pilavi, pirinc pilavi","mevsim salata, meyve, kola"
2024-09-09,pazartesi,ogle yemegi,koy corbasi,mantar soslu tavuk,mantar graten,"pirinc pilavi, domatesli bulgur pilavi","coban salata, meyve, gazoz"
2024-09-10,sali,ogle yemegi,bamya corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","yogurt, tursu, brownie"
2024-09-11,carsamba,ogle yemegi,ayranasi corba,meksika soslu tavuk,zy.mantar,"nohutlu pirinc pilavi, tepsi boregi","keskul, limonata, meyve"
2024-09-12,persembe,ogle yemegi,cesmi nigar corba,tavuk sandal,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","semizotu borani, meyve, soda"
2024-09-13,cuma,ogle yemegi,ezogelin corba,kabak begendi,nohutlu kabak yemegi,"sehriyeli pirinc pilavi, eriste","ayran, mevsim salata, meyve"
2024-09-16,pazartesi,ogle yemegi,antep corba,tavuk doner,falafel,"soslu makarna, pirinc pilavi","mevsim salata, limonata, meyve"
2024-09-17,sali,ogle yemegi,brokoli corba,firin kofte,vegan kofte,"soslu makarna, garniturlu pirinc pilavi","ayran, cheescake, meyve"
2024-09-18,carsamba,ogle yemegi,mercimek corba,kremali tavuk sote,bezelyeli vegan misket kofte,"garniturlu pirinc pilavi, soslu spagetti","magnolia, mevsim salata, ayran"
2024-09-19,persembe,ogle yemegi,yayla corba,etli taze fasulye,taze fasulye,"bulgur pilavi, melek pilavi","mevsim salata, profiterol, meyve"
2024-09-19,persembe,aksam yemegi,alaca corba,izmir kofte,bezelyeli vegan misket kofte,"spagetti makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-09-20,cuma,ogle yemegi,antep corba,mantar soslu tavuk,mantar sote,"nohutlu pirinc pilavi, soslu makarna","mevsim salata, meyve, limonata"
2024-09-20,cuma,aksam yemegi,domates corba,kiymali patates oturtma,patates graten,"soslu makarna, gul boregi","havuc borani, meyve, gazoz"
2024-09-21,cumartesi,ogle yemegi,safak corba,pizza,saksuka,"sogan halkasi, mucver","kola, meyve, amerikan salata"
2024-09-21,cumartesi,aksam yemegi,mantar corba,tavuk kok kanat,semizotu yemegi,"bolonez soslu spagetti, pirinc pilavi","mevsim salata, meyve, soda"
2024-09-22,pazar,ogle yemegi,alaca corba,etli turlu,etsiz turlu,"bulgur pilavi, misirli pirinc pilavi","cacik, mevsim salata, zerde tatlisi"
2024-09-22,pazar,aksam yemegi,suzme mercimek corba,manisa kirkagac kofte,zy.biber dolma,"soslu makarna, gul boregi","ayran, mevsim salata, meyve"
2024-09-23,pazartesi,ogle yemegi,ayranasi corba,izmir kofte,yesil mercimek yemegi,"bulgur pilavi, ic pilavi","ayran, mevsim salata, meyve"
2024-09-23,pazartesi,aksam yemegi,sehriye corba,yayla soslu tavuk,etsiz barbunya,"firin makarna, pirinc pilavi","mercimek kofte, meyve, gazoz"
2024-09-24,sali,ogle yemegi,tavuk suyu corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","yogurt, mevsim salata, soda"
2024-09-24,sali,aksam yemegi,safak corba,kiymali ispanak yemegi,yesil mercimekli ispanak yemegi,"soslu makarna, su boregi","trilece, mevsim salata, meyve"
2024-09-25,carsamba,ogle yemegi,suzme mercimek corba,tavuk izgara,saksuka,"patatesli tepsi boregi, sehriyeli pirinc pilavi","mevsim salata, cig kofte, ayran"
2024-09-25,carsamba,aksam yemegi,tarhana corba,etli bezelye,etsiz bezelye,"bulgur pilavi, eriste","ayran, mevsim salata, meyve"
2024-09-26,persembe,ogle yemegi,ezogelin corba,tas kebabi,dovmec,"yesil mercimekli bulgur pilavi, pirinc pilavi","mevsim salata, meyve, ayran"
2024-09-26,persembe,aksam yemegi,domates corba,ciftlik kebabi,sebze sote,"bulgur pilavi, zerdecalli pirinc pilavi","limonata, meyve, haydari"
2024-09-27,cuma,ogle yemegi,mantar corba,et doner,mucver,"melek pilavi, soslu makarna","limonata, mevsim salata, nevzine tatlisi"
2024-09-27,cuma,aksam yemegi,yogurtlu nane corba,firin tavuk baget,falafel,"pirinc pilavi, su boregi","coban salata, meyve, soda"
2024-09-28,cumartesi,ogle yemegi,antep corba,pilic kofte,saksuka,"domates soslu spagetti, misirli pirinc pilavi","fanta, mevsim salata, meyve"
2024-09-28,cumartesi,aksam yemegi,tutmac corba,kiymali ispanak yemegi,ispanak yemegi,"tepsi boregi, zerdecalli makarna","sutlac, meyve, mevsim salata"
2024-09-29,pazar,ogle yemegi,krutonlu mercimek corba,etli mantar sote,mantar sote,"pirinc pilavi, kuskus","piyaz, havuc borani, limonata"
2024-09-29,pazar,aksam yemegi,sef'in corbasi,tavuk sinitzel,harput kofte,"soslu makarna, melek pilavi","meyve, gazoz, coban salata"
2024-09-30,pazartesi,ogle yemegi,elvankiz corba,meksika soslu tavuk,etsiz taze fasulye,"bulgur pilavi, penne makarna","meyve, ayran, mevsim salata"
2024-09-30,pazartesi,aksam yemegi,safak corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","tursu, meyve, brownie"
